date,dam,storage_bcm,hei,forced_release_bcm,peak_release_cusecs,release_day1_cusecs,inflow_day1_cusecs,rain_day1_mm,day_of_exhaustion,model,storage_basis,qpf_horizon_mm,obs_horizon_mm
2024-06-01,Pong,1.59264,-0.7525561964401608,0.0,0.0,0.0,40202.600414709304,0.376234503422818,,ecmwf_ifs025,cwc,4.2766910551513035,13.757749372054375
2024-06-02,Pong,1.5791826947352405,-0.7537174907888148,0.0,0.0,0.0,40359.23922107586,0.6302982149078197,,ecmwf_ifs025,model,6.433086852693176,13.67537493462327
2024-06-03,Pong,1.5657595280512693,-0.7545743294497642,0.0,0.0,0.0,40657.53811845979,1.9422529304788496,,ecmwf_ifs025,model,9.006693789534067,13.642285314583106
2024-06-04,Pong,1.553100160770387,-0.7581608711695872,0.0,0.0,0.0,41172.30912845706,1.300657403104848,,ecmwf_ifs025,model,5.246546996662938,12.272327130034466
2024-06-05,Pong,1.5410430131525903,-0.7609842774731437,0.0,0.0,0.0,40467.36666647383,1.0672286022449802,,ecmwf_ifs025,model,4.087342902230894,12.722783682405707
2024-06-06,Pong,1.52251,-0.7590624598438466,0.0,0.0,0.0,48332.28787865631,0.7895881538531366,,ecmwf_ifs025,cwc,4.413519333933982,0.6322949676406715
2024-06-07,Pong,1.5283084160798108,-0.7622154954394388,0.0,0.0,0.0,41775.25642345683,0.8614394321752451,,ecmwf_ifs025,model,2.7869524919143585,0.8117217831246495
2024-06-08,Pong,1.517929457711725,-0.7652494331112557,0.0,0.0,0.0,41511.983905278255,0.5736799343748137,,ecmwf_ifs025,model,1.4827334617689072,0.8117217831246495
2024-06-09,Pong,1.5072582280624514,-0.7677932175090847,0.0,0.0,0.0,39980.07546191585,0.2998390387878318,,ecmwf_ifs025,model,1.053067337310275,0.9480902081160935
2024-06-10,Pong,1.4938104832706234,-0.7695131854095396,0.0,0.0,0.0,40375.404003784686,0.3874256303250894,,ecmwf_ifs025,model,1.8575638607431433,0.3928702750041527
2024-06-11,Pong,1.4805996509551627,-0.7715967133740145,0.0,0.0,0.0,40066.697386111526,0.4250539928771125,,ecmwf_ifs025,model,2.2157931906169823,0.3714189014945555
2024-06-12,Pong,1.4668632192553615,-0.7733784131926086,0.0,0.0,0.0,40336.07484609692,0.8267636603830614,,ecmwf_ifs025,model,3.0175408344391728,0.3379880721078246
2024-06-13,Pong,1.38724,-0.78663164814154,0.0,0.0,0.0,40316.05924831848,1.1552007791487655,,ecmwf_ifs025,cwc,2.5880269818830453,3.7528717913458443
2024-06-14,Pong,1.3733190847320733,-0.7891860071155993,0.0,0.0,0.0,40094.662592384375,0.4151303832748167,,ecmwf_ifs025,model,2.376363134536838,4.860803790611866
2024-06-15,Pong,1.3594446612760358,-0.7909206463992368,0.0,0.0,0.0,39935.27124497705,0.2290084500420056,,ecmwf_ifs025,model,3.8153754878020782,11.102647092305236
2024-06-16,Pong,1.3453617725455926,-0.7929407615243073,0.0,0.0,0.0,39972.87236254238,0.3298658392586237,,ecmwf_ifs025,model,3.9538058919679027,11.553452295820268
2024-06-17,Pong,1.3314569280524595,-0.7949318645008489,0.0,0.0,0.0,40372.83533671599,1.111902051754995,,ecmwf_ifs025,model,4.369066974192457,11.783850904377296
2024-06-18,Pong,1.3209159041416951,-0.7949740064454413,0.0,0.0,0.0,42596.015743151,1.9122083114236843,,ecmwf_ifs025,model,5.2902407686717305,9.165954088742376
2024-06-19,Pong,1.3128876873686581,-0.7966486860343845,0.0,0.0,0.0,41490.01308271302,1.278809846153756,,ecmwf_ifs025,model,5.114952776718398,13.712170911053512
