date,district,year,chosen,y,score,frac_now
2015-07-25,Amritsar,2015,prior_state_season,0.0,0.4372522160461035,0.0
2015-07-26,Amritsar,2015,prior_state_season,0.0,0.420255738067566,0.0
2015-07-27,Amritsar,2015,prior_state_season,0.0,0.4158689311838477,0.0
2015-07-28,Amritsar,2015,prior_state_season,0.0,0.4114954135057805,0.0
2015-07-29,Amritsar,2015,prior_state_season,0.0,0.40713583241914303,0.0
2015-07-30,Amritsar,2015,prior_state_season,0.0,0.4027908266744146,0.0
2015-07-31,Amritsar,2015,prior_state_season,0.0,0.39846102603594385,0.0
2015-08-01,Amritsar,2015,prior_state_season,0.0,0.39414705094265423,0.0
2015-08-02,Amritsar,2015,prior_state_season,0.0,0.38984951218063746,0.0
2015-08-03,Amritsar,2015,prior_state_season,0.0,0.38556901056795423,0.0
2015-08-04,Amritsar,2015,prior_state_season,0.0,0.3813061366519416,0.0
2015-08-05,Amritsar,2015,prior_state_season,0.0,0.37706147041929616,0.0
2015-08-06,Amritsar,2015,prior_state_season,0.0,0.3728355810191782,0.0
2015-08-07,Amritsar,2015,prior_state_season,0.0,0.3686290264995541,0.0
2015-08-08,Amritsar,2015,prior_state_season,0.0,0.3773953093582067,0.000205
2015-08-09,Amritsar,2015,prior_state_season,0.0,0.3705359811292186,0.0
2015-08-10,Amritsar,2015,prior_state_season,0.0,0.36634021677061057,0.0
2015-08-11,Amritsar,2015,prior_state_season,0.0,0.3520069160124829,0.0
2015-08-12,Amritsar,2015,prior_state_season,0.0,0.34790500132199326,0.0
2015-08-13,Amritsar,2015,prior_state_season,0.0,0.34382552362051466,0.0
2015-08-14,Amritsar,2015,prior_state_season,0.0,0.339768957010705,0.0
2015-08-15,Amritsar,2015,prior_state_season,0.0,0.3357357628787104,0.0
2015-08-16,Amritsar,2015,prior_state_season,0.0,0.3566584515104979,0.000408
2015-08-17,Amritsar,2015,prior_state_season,0.0,0.34743010806409225,0.0
2015-08-18,Amritsar,2015,prior_state_season,0.0,0.34335326684189094,0.0
2015-08-19,Amritsar,2015,prior_state_season,0.0,0.3198454863758832,0.0
